filename,class_id,class_name,confidence,x_min_pixel,y_min_pixel,x_max_pixel,y_max_pixel
NCY014503.jpg,0,leaf,0.9704,2832,3619,4120,4978
NCY014503.jpg,0,leaf,0.9723,18,3638,1421,5057
NCY014503.jpg,0,leaf,0.9735,3443,1963,4945,3783
NCY014503.jpg,0,leaf,0.9744,4938,3483,6099,4624
NCY014503.jpg,0,leaf,0.9794,4905,1176,6348,3010
NCY014503.jpg,0,leaf,0.9795,2467,4991,3664,6510
bus.jpg,3,flower,0.7317,0,826,807,1080
bus.jpg,0,leaf,0.8313,704,500,810,860
image1.jpg,4,fruit,0.2734,212,90,249,116
image1.jpg,3,flower,0.2866,470,68,613,365
image1.jpg,4,fruit,0.3158,255,94,274,113
image1.jpg,2,stem,0.3289,446,255,503,369
image1.jpg,3,flower,0.4289,123,3,285,182
image1.jpg,3,flower,0.5501,100,128,134,187
image1.jpg,0,leaf,0.5598,470,74,609,194
image1.jpg,0,leaf,0.6818,204,178,428,536
image1.jpg,0,leaf,0.7436,123,3,285,184
image1.jpg,3,flower,0.7828,512,201,567,240
image1.jpg,0,leaf,0.9177,0,167,249,536
image1.jpg,0,leaf,0.936,435,362,625,536
image2.jpg,0,leaf,0.2761,242,19,356,184
image2.jpg,0,leaf,0.3126,328,95,351,143
image2.jpg,2,stem,0.444,479,28,551,78
image2.jpg,3,flower,0.5678,241,20,360,185
image3.jpg,0,leaf,0.4333,104,195,166,280
image3.jpg,0,leaf,0.6416,196,46,431,260
image3.jpg,4,fruit,0.7248,104,196,167,280
image3.jpg,0,leaf,0.8826,94,28,129,84
image3.jpg,0,leaf,0.8998,99,30,204,196
zidane.jpg,0,leaf,0.4042,459,197,666,443
zidane.jpg,4,fruit,0.5364,893,84,1057,289
zidane.jpg,4,fruit,0.7404,458,197,665,443
